modelo,training_time,train_emissions,inference_time,inference_emissions
Chronos2,0.0,0.0,1317.6980123519897,0.0472749872434009
DeepAR,67030.46720123291,0.2334479110000332,4010.6660833358765,0.0551187268845853
HistGradientBoostingRegressor,18528.514362335205,0.061868205253829196,57.756280422210686,0.0294984146891622
KNeighborsRegressor,2371.6189477443695,0.0179322116800202,60.185687065124505,0.0297285028079127
Lasso,2807.863787174225,0.0206826955891079,7.537533283233634,0.0293010786721697
LinearRegression,1925.0092887878418,0.0142077274199707,7.258739948272697,0.0293065377496367
PatchTST,46154.09213066101,0.1528309357759946,5210.392610549927,0.0590241171894536
RandomForestRegressor,36819.09002017975,0.10071397788711339,112.19554924964905,0.0294601859263192
Ridge,2166.8473122119904,0.0168227870355462,7.356785535812369,0.0293206820704416
TemporalFusionTransformer,116329.24343156815,0.3911057296190625,7094.256423473358,0.0654291688662349
